ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
map_1,Files for Australian Language Locations,,,,,,bowern2021australia,,map,
1,Karlaaku,,,,kala1379,traditional,bowern2021australia,features,feature,map_1
2,Ngajumaya,,,,ngad1258,traditional,bowern2021australia,features,feature,map_1
3,Ngarinyin,,,,ngar1284,traditional,bowern2021australia,features,feature,map_1
4,Worla,,,,wurl1240,traditional,bowern2021australia,features,feature,map_1
5,Yapurarra,,,,jabu1247,traditional,bowern2021australia,features,feature,map_1
6,Andajin,,,,anda1282,traditional,bowern2021australia,features,feature,map_1
7,Ngarlawangga,,,,yinh1234,traditional,bowern2021australia,features,feature,map_1
8,Ngarluma,,,,ngar1287,traditional,bowern2021australia,features,feature,map_1
9,Martuthunira,,,,mart1255,traditional,bowern2021australia,features,feature,map_1
10,Nhuwala,,,,nhuw1239,traditional,bowern2021australia,features,feature,map_1
11,Palyku,,,,nija1241,traditional,bowern2021australia,features,feature,map_1
12,Panyjima,,,,pany1241,traditional,bowern2021australia,features,feature,map_1
13,Kurrama,,,,kurr1243,traditional,bowern2021australia,features,feature,map_1
14,Nyamal,,,,nyam1271,traditional,bowern2021australia,features,feature,map_1
15,Kariyarra,,,,kari1304,traditional,bowern2021australia,features,feature,map_1
16,Jurruru,,,,tjur1240,traditional,bowern2021australia,features,feature,map_1
17,Wanamara,,,,wunu1234,traditional,bowern2021australia,features,feature,map_1
18,Mangala,,,,mang1383,traditional,bowern2021australia,features,feature,map_1
19,Mayi-Kulan,,,,mayi1236,traditional,bowern2021australia,features,feature,map_1
20,Ngawun,,,,ngaw1240,traditional,bowern2021australia,features,feature,map_1
21,Mayi-Yapi,,,,mayi1235,traditional,bowern2021australia,features,feature,map_1
22,Mayi-Kutuna,,,,maya1280,traditional,bowern2021australia,features,feature,map_1
23,Ayapathu,,,,ayab1239,traditional,bowern2021australia,features,feature,map_1
24,Mayi-Thakurti,,,,mayi1234,traditional,bowern2021australia,features,feature,map_1
25,Kuuku Yani,,,,nort2759,traditional,bowern2021australia,features,feature,map_1
27,Kuuku-Ya'u,,,,kuuk1238,traditional,bowern2021australia,features,feature,map_1
29,Kugu Nganhcara,,,,wikn1246,traditional,bowern2021australia,features,feature,map_1
30,Kaanju,,,,kanj1260,traditional,bowern2021australia,features,feature,map_1
31,Wik Mungkan,,,,wikm1247,traditional,bowern2021australia,features,feature,map_1
33,Badjiri,,,,badj1244,traditional,bowern2021australia,features,feature,map_1
34,Wadjabangayi,,,,bidy1243,traditional,bowern2021australia,features,feature,map_1
35,Gungabula,,,,gung1248,traditional,bowern2021australia,features,feature,map_1
36,Gunggari,,,,kung1258,traditional,bowern2021australia,features,feature,map_1
37,Bidjara,,,,bidy1243,traditional,bowern2021australia,features,feature,map_1
38,Yirandhali,,,,yira1239,traditional,bowern2021australia,features,feature,map_1
39,Guwamu,,,,guwa1243,traditional,bowern2021australia,features,feature,map_1
40,Gunya,,,,guny1241,traditional,bowern2021australia,features,feature,map_1
41,Muruwari,,,,muru1266,traditional,bowern2021australia,features,feature,map_1
42,Margany,,,,marg1253,traditional,bowern2021australia,features,feature,map_1
43,Ritharrngu,,,,rita1239,traditional,bowern2021australia,features,feature,map_1
44,Nganyaywana,,,,ngan1296,traditional,bowern2021australia,features,feature,map_1
45,Goreng,,,,gore1235,traditional,bowern2021australia,features,feature,map_1
46,Minang,,,,nyun1247,traditional,bowern2021australia,features,feature,map_1
47,Nyunga,,,,nyun1247,traditional,bowern2021australia,features,feature,map_1
48,Wudjari,,,,nyun1247,traditional,bowern2021australia,features,feature,map_1
51,Parrintyi,,,,darl1243,traditional,bowern2021australia,features,feature,map_1
52,Kurnu,,,,darl1243,traditional,bowern2021australia,features,feature,map_1
53,Pantyikali,,,,darl1243,traditional,bowern2021australia,features,feature,map_1
54,Southern Paakantyi,,,,darl1243,traditional,bowern2021australia,features,feature,map_1
55,Flinders Island,,,,flin1247,traditional,bowern2021australia,features,feature,map_1
56,Guugu-Yimidhirr,,,,gugu1255,traditional,bowern2021australia,features,feature,map_1
57,Mbabaram,,,,mbab1239,traditional,bowern2021australia,features,feature,map_1
58,Barrow Point,,,,barr1247,traditional,bowern2021australia,features,feature,map_1
60,Kuku Thaypan,,,,thay1248,traditional,bowern2021australia,features,feature,map_1
61,Ngalakgan,,,,ngal1293,traditional,bowern2021australia,features,feature,map_1
64,Rembarrnga,,,,remb1249,traditional,bowern2021australia,features,feature,map_1
65,Mbeiwum,,,,mbiy1238,traditional,bowern2021australia,features,feature,map_1
66,Yatay,,,,guda1244,traditional,bowern2021australia,features,feature,map_1
67,Umpila,,,,umpi1239,traditional,bowern2021australia,features,feature,map_1
68,Yinwum,,,,yinw1236,traditional,bowern2021australia,features,feature,map_1
69,Yadhaykenu,,,,yadh1237,traditional,bowern2021australia,features,feature,map_1
70,Linngithigh,,,,leni1238,traditional,bowern2021australia,features,feature,map_1
71,Luthigh,,,,luth1234,traditional,bowern2021australia,features,feature,map_1
72,Anguthimri,,,,angu1242,traditional,bowern2021australia,features,feature,map_1
73,Aritinngithigh,,,,arit1239,traditional,bowern2021australia,features,feature,map_1
74,Muthanthi,,,,,traditional,bowern2021australia,features,feature,map_1
75,Uradhi,,,,urad1239,traditional,bowern2021australia,features,feature,map_1
76,Yupngayth,,,,,traditional,bowern2021australia,features,feature,map_1
77,Ndra'ngith,,,,ndra1239,traditional,bowern2021australia,features,feature,map_1
78,Alngith,,,,alng1239,traditional,bowern2021australia,features,feature,map_1
79,Paaruntyi,,,,darl1243,traditional,bowern2021australia,features,feature,map_1
80,Malak Malak,,,,mull1237,traditional,bowern2021australia,features,feature,map_1
81,Kukatja,,,,kuka1246,traditional,bowern2021australia,features,feature,map_1
82,Yulparija,,,,yulp1238,traditional,bowern2021australia,features,feature,map_1
83,Nyaki Nyaki,,,,nyun1247,traditional,bowern2021australia,features,feature,map_1
84,Nganakarti,,,,nhan1238,traditional,bowern2021australia,features,feature,map_1
85,Balardung,,,,nyun1247,traditional,bowern2021australia,features,feature,map_1
86,Wajuk,,,,waju1234,traditional,bowern2021australia,features,feature,map_1
87,Kukatj,,,,guga1239,traditional,bowern2021australia,features,feature,map_1
88,Amangu,,,,nhan1238,traditional,bowern2021australia,features,feature,map_1
89,Wuthathi,,,,wuth1237,traditional,bowern2021australia,features,feature,map_1
90,Mpalityan,,,,mpal1237,traditional,bowern2021australia,features,feature,map_1
91,Mpakwithi,,,,angu1242,traditional,bowern2021australia,features,feature,map_1
92,Atampaya,,,,atam1239,traditional,bowern2021australia,features,feature,map_1
93,Angkamuthi,,,,angg1238,traditional,bowern2021australia,features,feature,map_1
94,Awngthim,,,,awng1245,traditional,bowern2021australia,features,feature,map_1
95,Gudang,,,,guda1244,traditional,bowern2021australia,features,feature,map_1
96,Luthigh,,,,luth1234,traditional,bowern2021australia,features,feature,map_1
97,Duungidjawu,,,,duun1241,traditional,bowern2021australia,features,feature,map_1
98,WakaWaka,,,,waka1274,traditional,bowern2021australia,features,feature,map_1
